test_id,node,test_category,test_description,test,result,failure_reason
1,leaf1,NTP,Synchronised with NTP server,NTP,PASS,
2,leaf2,NTP,Synchronised with NTP server,NTP,PASS,
3,leaf3,NTP,Synchronised with NTP server,NTP,PASS,
4,leaf4,NTP,Synchronised with NTP server,NTP,PASS,
5,spine1,NTP,Synchronised with NTP server,NTP,PASS,
6,spine2,NTP,Synchronised with NTP server,NTP,PASS,
7,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf2_Ethernet1,PASS,
8,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf2_Ethernet2,PASS,
9,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1_Ethernet2,PASS,
10,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2_Ethernet2,PASS,
11,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - host1_Eth1,PASS,
12,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host1_Eth2,PASS,
13,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf1_Ethernet1,PASS,
14,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf1_Ethernet2,PASS,
15,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1_Ethernet3,PASS,
16,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2_Ethernet3,PASS,
17,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - host1_Eth3,PASS,
18,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host1_Eth4,PASS,
19,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf4_Ethernet1,PASS,
20,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf4_Ethernet2,PASS,
21,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1_Ethernet4,PASS,
22,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2_Ethernet4,PASS,
23,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - host2_Eth1,PASS,
24,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host2_Eth2,PASS,
25,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf3_Ethernet1,PASS,
26,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf3_Ethernet2,PASS,
27,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1_Ethernet5,PASS,
28,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2_Ethernet5,PASS,
29,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - host2_Eth3,PASS,
30,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host2_Eth4,PASS,
31,spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_LEAF1_Ethernet3,PASS,
32,spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_LEAF2_Ethernet3,PASS,
33,spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_LEAF3_Ethernet3,PASS,
34,spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_LEAF4_Ethernet3,PASS,
35,spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_LEAF1_Ethernet4,PASS,
36,spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_LEAF2_Ethernet4,PASS,
37,spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_LEAF3_Ethernet4,PASS,
38,spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_LEAF4_Ethernet4,PASS,
39,leaf1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf2_Po1,PASS,
40,leaf1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel6 - host1_PortChannel_to_host1,PASS,
41,leaf2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf1_Po1,PASS,
42,leaf2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel6 - host1_PortChannel_to_host1,PASS,
43,leaf3,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf4_Po1,PASS,
44,leaf3,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel6 - host2_PortChannel_to_host2,PASS,
45,leaf4,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf3_Po1,PASS,
46,leaf4,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel6 - host2_PortChannel_to_host2,PASS,
47,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
48,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
49,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - VLAN_10,PASS,
50,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf VRF_A,PASS,
51,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
52,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
53,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - VLAN_10,PASS,
54,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf VRF_A,PASS,
55,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
56,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
57,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - VLAN_10,PASS,
58,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf VRF_A,PASS,
59,leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
60,leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
61,leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - VLAN_10,PASS,
62,leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf VRF_A,PASS,
63,leaf1,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
64,leaf2,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
65,leaf3,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
66,leaf4,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
67,leaf1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
68,leaf1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
69,leaf2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
70,leaf2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
71,leaf3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
72,leaf3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
73,leaf4,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
74,leaf4,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
75,spine1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
76,spine2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
77,leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf2_Ethernet1,FAIL,leaf2.arista.lab - Ethernet1
78,leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf2_Ethernet2,FAIL,leaf2.arista.lab - Ethernet2
79,leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1_Ethernet2,FAIL,spine1.arista.lab - Ethernet2
80,leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2_Ethernet2,FAIL,spine2.arista.lab - Ethernet2
81,leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf1_Ethernet1,FAIL,leaf1.arista.lab - Ethernet1
82,leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf1_Ethernet2,FAIL,leaf1.arista.lab - Ethernet2
83,leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1_Ethernet3,FAIL,spine1.arista.lab - Ethernet3
84,leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2_Ethernet3,FAIL,spine2.arista.lab - Ethernet3
85,leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf4_Ethernet1,FAIL,leaf4.arista.lab - Ethernet1
86,leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf4_Ethernet2,FAIL,leaf4.arista.lab - Ethernet2
87,leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1_Ethernet4,FAIL,spine1.arista.lab - Ethernet4
88,leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2_Ethernet4,FAIL,spine2.arista.lab - Ethernet4
89,leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf3_Ethernet1,FAIL,leaf3.arista.lab - Ethernet1
90,leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf3_Ethernet2,FAIL,leaf3.arista.lab - Ethernet2
91,leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1_Ethernet5,FAIL,spine1.arista.lab - Ethernet5
92,leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2_Ethernet5,FAIL,spine2.arista.lab - Ethernet5
93,spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf1_Ethernet3,FAIL,leaf1.arista.lab - Ethernet3
94,spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: leaf2_Ethernet3,FAIL,leaf2.arista.lab - Ethernet3
95,spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: leaf3_Ethernet3,FAIL,leaf3.arista.lab - Ethernet3
96,spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: leaf4_Ethernet3,FAIL,leaf4.arista.lab - Ethernet3
97,spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf1_Ethernet4,FAIL,leaf1.arista.lab - Ethernet4
98,spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: leaf2_Ethernet4,FAIL,leaf2.arista.lab - Ethernet4
99,spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: leaf3_Ethernet4,FAIL,leaf3.arista.lab - Ethernet4
100,spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: leaf4_Ethernet4,FAIL,leaf4.arista.lab - Ethernet4
101,leaf1,MLAG,MLAG State active & Status connected,MLAG,PASS,
102,leaf2,MLAG,MLAG State active & Status connected,MLAG,PASS,
103,leaf3,MLAG,MLAG State active & Status connected,MLAG,PASS,
104,leaf4,MLAG,MLAG State active & Status connected,MLAG,PASS,
105,leaf1,IP Reachability,ip reachability test p2p links,Source: leaf1_Ethernet3 - Destination: spine1_Ethernet2,PASS,
106,leaf1,IP Reachability,ip reachability test p2p links,Source: leaf1_Ethernet4 - Destination: spine2_Ethernet2,PASS,
107,leaf2,IP Reachability,ip reachability test p2p links,Source: leaf2_Ethernet3 - Destination: spine1_Ethernet3,PASS,
108,leaf2,IP Reachability,ip reachability test p2p links,Source: leaf2_Ethernet4 - Destination: spine2_Ethernet3,PASS,
109,leaf3,IP Reachability,ip reachability test p2p links,Source: leaf3_Ethernet3 - Destination: spine1_Ethernet4,PASS,
110,leaf3,IP Reachability,ip reachability test p2p links,Source: leaf3_Ethernet4 - Destination: spine2_Ethernet4,PASS,
111,leaf4,IP Reachability,ip reachability test p2p links,Source: leaf4_Ethernet3 - Destination: spine1_Ethernet5,PASS,
112,leaf4,IP Reachability,ip reachability test p2p links,Source: leaf4_Ethernet4 - Destination: spine2_Ethernet5,PASS,
113,spine1,IP Reachability,ip reachability test p2p links,Source: spine1_Ethernet2 - Destination: leaf1_Ethernet3,PASS,
114,spine1,IP Reachability,ip reachability test p2p links,Source: spine1_Ethernet3 - Destination: leaf2_Ethernet3,PASS,
115,spine1,IP Reachability,ip reachability test p2p links,Source: spine1_Ethernet4 - Destination: leaf3_Ethernet3,PASS,
116,spine1,IP Reachability,ip reachability test p2p links,Source: spine1_Ethernet5 - Destination: leaf4_Ethernet3,PASS,
117,spine2,IP Reachability,ip reachability test p2p links,Source: spine2_Ethernet2 - Destination: leaf1_Ethernet4,PASS,
118,spine2,IP Reachability,ip reachability test p2p links,Source: spine2_Ethernet3 - Destination: leaf2_Ethernet4,PASS,
119,spine2,IP Reachability,ip reachability test p2p links,Source: spine2_Ethernet4 - Destination: leaf3_Ethernet4,PASS,
120,spine2,IP Reachability,ip reachability test p2p links,Source: spine2_Ethernet5 - Destination: leaf4_Ethernet4,PASS,
121,leaf1,BGP,ArBGP is configured and operating,ArBGP,PASS,
122,leaf2,BGP,ArBGP is configured and operating,ArBGP,PASS,
123,leaf3,BGP,ArBGP is configured and operating,ArBGP,PASS,
124,leaf4,BGP,ArBGP is configured and operating,ArBGP,PASS,
125,spine1,BGP,ArBGP is configured and operating,ArBGP,PASS,
126,spine2,BGP,ArBGP is configured and operating,ArBGP,PASS,
127,leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.1,PASS,
128,leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.0,PASS,
129,leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.2,PASS,
130,leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.0,PASS,
131,leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.4,PASS,
132,leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.6,PASS,
133,leaf3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.5,PASS,
134,leaf3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.8,PASS,
135,leaf3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.10,PASS,
136,leaf4,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.4,PASS,
137,leaf4,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.12,PASS,
138,leaf4,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.14,PASS,
139,spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.1,PASS,
140,spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.5,PASS,
141,spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.9,PASS,
142,spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.13,PASS,
143,spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.3,PASS,
144,spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.7,PASS,
145,spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.11,PASS,
146,spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.15,PASS,
147,leaf1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.11,PASS,
148,leaf1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.12,PASS,
149,leaf2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.11,PASS,
150,leaf2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.12,PASS,
151,leaf3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.11,PASS,
152,leaf3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.12,PASS,
153,leaf4,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.11,PASS,
154,leaf4,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.12,PASS,
155,spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.1,PASS,
156,spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.2,PASS,
157,spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.3,PASS,
158,spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.4,PASS,
159,spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.1,PASS,
160,spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.2,PASS,
161,spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.3,PASS,
162,spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.4,PASS,
163,leaf1,Routing Table,Remote VTEP address,192.168.102.1,PASS,
164,leaf1,Routing Table,Remote VTEP address,192.168.102.3,FAIL,VTEP 192.168.102.3 is not in the routing table
165,leaf2,Routing Table,Remote VTEP address,192.168.102.1,PASS,
166,leaf2,Routing Table,Remote VTEP address,192.168.102.3,FAIL,VTEP 192.168.102.3 is not in the routing table
167,leaf3,Routing Table,Remote VTEP address,192.168.102.1,FAIL,VTEP 192.168.102.1 is not in the routing table
168,leaf3,Routing Table,Remote VTEP address,192.168.102.3,PASS,
169,leaf4,Routing Table,Remote VTEP address,192.168.102.1,FAIL,VTEP 192.168.102.1 is not in the routing table
170,leaf4,Routing Table,Remote VTEP address,192.168.102.3,PASS,
171,leaf1,Routing Table,Remote Lo0 address,192.168.101.1,PASS,
172,leaf1,Routing Table,Remote Lo0 address,192.168.101.2,PASS,
173,leaf1,Routing Table,Remote Lo0 address,192.168.101.3,FAIL,Lo0 192.168.101.3 is not in the routing table
174,leaf1,Routing Table,Remote Lo0 address,192.168.101.4,FAIL,Lo0 192.168.101.4 is not in the routing table
175,leaf1,Routing Table,Remote Lo0 address,192.168.101.11,PASS,
176,leaf1,Routing Table,Remote Lo0 address,192.168.101.12,PASS,
177,leaf2,Routing Table,Remote Lo0 address,192.168.101.1,PASS,
178,leaf2,Routing Table,Remote Lo0 address,192.168.101.2,PASS,
179,leaf2,Routing Table,Remote Lo0 address,192.168.101.3,FAIL,Lo0 192.168.101.3 is not in the routing table
180,leaf2,Routing Table,Remote Lo0 address,192.168.101.4,FAIL,Lo0 192.168.101.4 is not in the routing table
181,leaf2,Routing Table,Remote Lo0 address,192.168.101.11,PASS,
182,leaf2,Routing Table,Remote Lo0 address,192.168.101.12,PASS,
183,leaf3,Routing Table,Remote Lo0 address,192.168.101.1,FAIL,Lo0 192.168.101.1 is not in the routing table
184,leaf3,Routing Table,Remote Lo0 address,192.168.101.2,FAIL,Lo0 192.168.101.2 is not in the routing table
185,leaf3,Routing Table,Remote Lo0 address,192.168.101.3,PASS,
186,leaf3,Routing Table,Remote Lo0 address,192.168.101.4,PASS,
187,leaf3,Routing Table,Remote Lo0 address,192.168.101.11,PASS,
188,leaf3,Routing Table,Remote Lo0 address,192.168.101.12,PASS,
189,leaf4,Routing Table,Remote Lo0 address,192.168.101.1,FAIL,Lo0 192.168.101.1 is not in the routing table
190,leaf4,Routing Table,Remote Lo0 address,192.168.101.2,FAIL,Lo0 192.168.101.2 is not in the routing table
191,leaf4,Routing Table,Remote Lo0 address,192.168.101.3,PASS,
192,leaf4,Routing Table,Remote Lo0 address,192.168.101.4,PASS,
193,leaf4,Routing Table,Remote Lo0 address,192.168.101.11,PASS,
194,leaf4,Routing Table,Remote Lo0 address,192.168.101.12,PASS,
195,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.1,PASS,
196,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.2,PASS,
197,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.3,FAIL,100% packet loss
198,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.4,FAIL,100% packet loss
199,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.11,PASS,
200,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.12,PASS,
201,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.1,PASS,
202,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.2,PASS,
203,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.3,FAIL,100% packet loss
204,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.4,FAIL,100% packet loss
205,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.11,PASS,
206,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.12,PASS,
207,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.168.101.3 Destination: 192.168.101.1,FAIL,100% packet loss
208,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.168.101.3 Destination: 192.168.101.2,FAIL,100% packet loss
209,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.168.101.3 Destination: 192.168.101.3,PASS,
210,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.168.101.3 Destination: 192.168.101.4,PASS,
211,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.168.101.3 Destination: 192.168.101.11,PASS,
212,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.168.101.3 Destination: 192.168.101.12,PASS,
213,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.168.101.4 Destination: 192.168.101.1,FAIL,100% packet loss
214,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.168.101.4 Destination: 192.168.101.2,FAIL,100% packet loss
215,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.168.101.4 Destination: 192.168.101.3,PASS,
216,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.168.101.4 Destination: 192.168.101.4,PASS,
217,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.168.101.4 Destination: 192.168.101.11,PASS,
218,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.168.101.4 Destination: 192.168.101.12,PASS,
